"statusCode","statusType","statusMessage","rfc","officialStatus","notes"
"100","Informational","Continue","","official",""
"101","Informational","Switching Protocols","","official",""
"102","Informational","Processing","RFC 2518","official",""
"103","Informational","Checkpoint","","unofficial",""
"103","Informational","Early Hints","","unofficial",""
"200","Successful","OK","","official",""
"201","Successful","Created","","official",""
"202","Successful","Accepted","","official",""
"203","Successful","Non-Authoritative Information","","official",""
"204","Successful","No Content","","official",""
"205","Successful","Reset Content","","official",""
"206","Successful","Partial Content","RFC 7233","official",""
"207","Successful","Multi-Status","RFC 4918","official",""
"208","Successful","Already Reported","RFC 5842","official",""
"226","Successful","IM Used","RFC 3229","official",""
"300","Redirection","Multiple Choices","","official",""
"301","Redirection","Moved Permanently","","official",""
"302","Redirection","Found","","official",""
"303","Redirection","See Other","","official",""
"304","Redirection","Not Modified","RFC 7232","official",""
"305","Redirection","Use Proxy","","official",""
"306","Redirection","Switch Proxy","","official",""
"307","Redirection","Temporary Redirect","","official",""
"308","Redirection","Permanent Redirect","RFC 7538","official",""
"400","Client Error","Bad Request","","official",""
"401","Client Error","Unauthorized","RFC 7235","official",""
"402","Client Error","Payment Required","","official",""
"403","Client Error","Forbidden","","official",""
"404","Client Error","Not Found","","official",""
"405","Client Error","Method Not Allowed","","official",""
"406","Client Error","Not Acceptable","","official",""
"407","Client Error","Proxy Authentication Required","RFC 7235","official",""
"408","Client Error","Request Timeout","","official",""
"409","Client Error","Conflict","","official",""
"410","Client Error","Gone","","official",""
"411","Client Error","Length Required","","official",""
"412","Client Error","Precondition Failed","RFC 7232","official",""
"413","Client Error","Payload Too Large","RFC 7231","official",""
"414","Client Error","URI Too Long","RFC 7231","official",""
"415","Client Error","Unsupported Media Type","","official",""
"416","Client Error","Range Not Satisfiable","RFC 7233","official",""
"417","Client Error","Expectation Failed","","official",""
"418","Client Error","I'm a teapot","RFC 2324","official","Hyper Text Coffee Pot Control Protocol"
"420","Client Error","Enhance Your Calm","","unofficial","Twitter"
"420","Client Error","Method Failure","","unofficial","Spring Framework"
"421","Client Error","Misdirected Request","RFC 7540","official",""
"422","Client Error","Unprocessable Entity","RFC 4918","official",""
"423","Client Error","Locked","RFC 4918","official",""
"424","Client Error","Failed Dependency","RFC 4918","official",""
"426","Client Error","Upgrade Required","","official",""
"428","Client Error","Precondition Required","RFC 6585","official",""
"429","Client Error","Too Many Requests","RFC 6585","official",""
"431","Client Error","Request Header Fields Too Large","RFC 6585","official",""
"440","Client Error","Login Time-out","","unofficial","IIS"
"444","Client Error","No Response","","unofficial","nginx"
"449","Client Error","Retry With","","unofficial","IIS"
"450","Client Error","Blocked by Windows Parental Controls","","unofficial","Microsoft"
"451","Client Error","Redirect","","unofficial","IIS"
"451","Client Error","Unavailable For Legal Reasons","RFC 7725","official",""
"495","Client Error","SSL Certificate Error","","unofficial","nginx"
"496","Client Error","SSL Certificate Required","","unofficial","nginx"
"497","Client Error","HTTP Request Sent to HTTPS Port","","unofficial","nginx"
"498","Client Error","Invalid Token","","unofficial","Esri"
"499","Client Error","Client Closed Request","","unofficial","nginx"
"499","Client Error","Token Required","","unofficial","Esri"
"500","Server Error","Internal Server Error","","official",""
"501","Server Error","Not Implemented","","official",""
"502","Server Error","Bad Gateway","","official",""
"503","Server Error","Service Unavailable","","official",""
"504","Server Error","Gateway Timeout","","official",""
"505","Server Error","HTTP Version Not Supported","","official",""
"506","Server Error","Variant Also Negotiates","RFC 2295","official",""
"507","Server Error","Insufficient Storage","RFC 4918","official","WebDAV"
"508","Server Error","Loop Detected","RFC 5842","official","WebDAV"
"509","Server Error","Bandwidth Limit Exceeded","","unofficial","Apache Web Server/cPanel"
"510","Server Error","Not Extended","RFC 2774","official",""
"511","Server Error","Network Authentication Required","RFC 6585","official",""
"520","Server Error","Unknown Error","","unofficial","Cloudfare"
"521","Server Error","Web Server Is Down","","unofficial","Cloudfare"
"522","Server Error","Connection Timed Out","","unofficial","Cloudfare"
"523","Server Error","Origin Is Unreachable","","unofficial","Cloudfare"
"524","Server Error","A Timeout Occurred","","unofficial","Cloudfare"
"525","Server Error","SSL Handshake Failed","","unofficial","Cloudfare"
"526","Server Error","Invalid SSL Certificate","","unofficial","Cloudfare"
"527","Server Error","Railgun Error","","unofficial","Cloudfare"
"530","Server Error","Site is frozen","","unofficial","Pantheon"
"598","Server Error","(Informal convention) Network read timeout error","","unofficial",""
"599","Server Error","(Informal convention) Network connect timeout error","","unofficial",""